Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1384 b,0,0,0.005,0.17,0.0139,723,608,3.061,15.3626,3.657,13.1,618,4919,4.6,TRUE,nexsci
Kepler-1385 b,0,0,0.006,0.08,0.00171,1833,1541,2.866,2.8888,2.981,11.4,688.79,5732,4.27,TRUE,nexsci
Kepler-1386 b,0,0,0.003,0.11,0.00651,1279,1076,3.117,6.7397,4.183,12.9,835.88,5733,4.41,TRUE,nexsci
Kepler-1387 b,0,0,0.005,0.08,0.00236,1442,1213,2.929,2.2795,1.6202,12.5,455.36,5046,4.58,TRUE,nexsci
Kepler-1388 b,0,0,0.007,0.23,0.0227,618,520,3.023,12.2855,3.037,13.3,453.8,4098,4.67,TRUE,nexsci
Kepler-1388 c,0,0.001,0.007,0.2,0.018,806,677,3.039,5.5361,2.1817,13.3,453.8,4098,4.67,TRUE,nexsci
Kepler-1388 d,0,0,0.008,0.26,0.0269,517,435,3.011,20.9568,3.558,13.3,453.8,4098,4.67,TRUE,nexsci
Kepler-1388 e,0,0,0.006,0.22,0.0208,425,358,3.031,37.6327,4.547,13.3,453.8,4098,4.67,TRUE,nexsci
Kepler-1389 b,0,0,0.004,0.16,0.0119,403,339,3.072,99.2531,7.208,12.7,497.09,5078,4.61,TRUE,nexsci
Kepler-138 b,0,0,0.052,0.05,0.00021,530,446,2.372,10.3126,1.92,9.5,66.86,3841,4.89,TRUE,nexsci
Kepler-138 c,0,0,0.021,0.11,0.0062,485,408,3.128,13.7813,2.263,9.5,66.86,3841,4.89,TRUE,nexsci
Kepler-138 d,0,0,0.048,0.11,0.00201,409,344,2.631,23.0881,1.7012,9.5,66.86,3841,4.89,TRUE,nexsci
Kepler-1390 b,0,0,0.003,0.1,0.00553,1269,1067,3.095,6.4802,3.27,12.8,723.43,5753,4.45,TRUE,nexsci
Kepler-1391 b,0,0,0.004,0.15,0.0109,668,561,3.079,54.4092,9.511,12.4,1038.35,5840,4.36,TRUE,nexsci
Kepler-1392 b,0,0,0.003,0.17,0.0142,840,706,3.06,15.141,4.276,13.9,1117,5479,4.53,TRUE,nexsci
Kepler-1393 b,0,0,0.007,0.07,0.00137,1707,1435,2.828,2.4436,1.822,11.8,544.46,5697,4.5,TRUE,nexsci
Kepler-1394 b,0.001,0.001,0.003,0.12,0.0079,2519,2118,3.105,3.9377,4.655,10.7,640.41,6481,3.84,TRUE,nexsci
Kepler-1395 b,0,0,0.007,0.07,0.00137,1756,1477,2.828,3.7847,3.108,11.3,492.89,6138,4.33,TRUE,nexsci
Kepler-1396 b,0,0,0.003,0.18,0.0155,1068,898,3.05,18.2206,5.109,13.2,1066.46,6195,4.3,TRUE,nexsci
Kepler-1397 b,0,0,0.004,0.15,0.0113,717,603,3.078,47.45,10.675,12.5,1198.25,6026,4.37,TRUE,nexsci
Kepler-1398 b,0,0,0.005,0.08,0.0021,1927,1621,2.91,2.7882,3.397,12.4,852.2,6126,4.34,TRUE,nexsci
Kepler-1398 c,0,0,0.004,0.09,0.0034,1690,1421,2.998,4.1383,3.449,12.4,852.2,6126,4.34,TRUE,nexsci
Kepler-1399 b,0,0,0.002,0.11,0.0066,1940,1631,3.115,1.6387,1.952,13.9,1385.7,5735,4.47,TRUE,nexsci
Kepler-139 b,0,0.001,0.011,0.26,0.0282,1026,863,3.008,15.771,5.0536,11.2,391.04,5594,4.25,TRUE,nexsci
Kepler-139 c,0,0,0.008,0.3,0.0357,478,402,2.987,157.0729,8.1289,11.2,391.04,5594,4.25,TRUE,nexsci
Kepler-1400 b,0,0,0.003,0.14,0.0102,920,774,3.08,9.0669,3.381,13.8,752.24,5044,4.58,TRUE,nexsci
Kepler-1401 b,0,0,0.003,0.15,0.0109,1149,966,3.079,11.2007,4.562,13.5,1425.43,5964,4.39,TRUE,nexsci
Kepler-1402 b,0,0,0.006,0.07,0.00114,1614,1358,2.786,2.0339,3.201,12.9,1493.64,5416,4.53,TRUE,nexsci
Kepler-1403 b,0,0,0.003,0.19,0.0164,1473,1239,3.047,5.1949,3.148,14.2,2163.9,6060,4.36,TRUE,nexsci
Kepler-1404 b,0,0,0.003,0.18,0.0148,798,671,3.059,15.9315,2.71,13.8,962.18,5261,4.56,TRUE,nexsci
Kepler-1405 b,0,0,0.005,0.35,0.0467,834,701,2.968,28.2274,5.648,14.2,1530.3,5925,4.4,TRUE,nexsci
Kepler-1406 b,0,0,0.003,0.1,0.0043,1138,957,3.045,11.6291,2.846,11.9,572.4,5892,4.36,TRUE,nexsci
Kepler-1407 b,0,0,0.004,0.2,0.0179,954,802,3.041,20.0712,6.137,13.5,1396.41,6010,4.36,TRUE,nexsci
